datetime_beginning_ept,time,pnode_name,total_lmp_rt,load,Average of Temp,Average of Humidity,Average of Precipitation
43409,0,DUQ,19.561206,1216,55.97843137,80.07843137,0.139607843
43409,1,DUQ,19.619078,1185.8,55.97843137,80.07843137,0.139607843
43409,2,DUQ,19.795198,1176.2,55.97843137,80.07843137,0.139607843
43409,3,DUQ,20.247282,1176.4,55.97843137,80.07843137,0.139607843
43409,4,DUQ,20.73646,1208.666667,55.97843137,80.07843137,0.139607843
43409,5,DUQ,23.723794,1300.5,55.97843137,80.07843137,0.139607843
43409,6,DUQ,48.830108,1437.5,55.97843137,80.07843137,0.139607843
43409,7,DUQ,32.495483,1513.166667,55.97843137,80.07843137,0.139607843
43409,8,DUQ,35.041441,1516.714286,55.97843137,80.07843137,0.139607843
43409,9,DUQ,35.637561,1524.285714,55.97843137,80.07843137,0.139607843
43409,10,DUQ,35.963465,1530.625,55.97843137,80.07843137,0.139607843
43409,11,DUQ,32.82048,1537.25,55.97843137,80.07843137,0.139607843
43409,12,DUQ,41.715476,1535.25,55.97843137,80.07843137,0.139607843
43409,13,DUQ,34.74757,1536.125,55.97843137,80.07843137,0.139607843
43409,14,DUQ,30.181369,1525.125,55.97843137,80.07843137,0.139607843
43409,15,DUQ,31.048435,1509,55.97843137,80.07843137,0.139607843
43409,16,DUQ,52.74157,1497.666667,55.97843137,80.07843137,0.139607843
43409,17,DUQ,80.031783,1527.444444,55.97843137,80.07843137,0.139607843
43409,18,DUQ,31.843185,1538.111111,55.97843137,80.07843137,0.139607843
43409,19,DUQ,33.669156,1531.666667,55.97843137,80.07843137,0.139607843
43409,20,DUQ,36.541654,1509,55.97843137,80.07843137,0.139607843
43409,21,DUQ,26.24963,1460.777778,55.97843137,80.07843137,0.139607843
43409,22,DUQ,22.835017,1371.3,55.97843137,80.07843137,0.139607843
43409,23,DUQ,22.825832,1285.5,55.97843137,80.07843137,0.139607843
43410,0,DUQ,48.331529,1216,59.1745098,81.35294118,0.47254902
43410,1,DUQ,21.883877,1174,59.1745098,81.35294118,0.47254902
43410,2,DUQ,21.385822,1150,59.1745098,81.35294118,0.47254902
43410,3,DUQ,21.38587,1148,59.1745098,81.35294118,0.47254902
43410,4,DUQ,22.609604,1170.333333,59.1745098,81.35294118,0.47254902
43410,5,DUQ,24.714616,1244.333333,59.1745098,81.35294118,0.47254902
43410,6,DUQ,28.564806,1365.166667,59.1745098,81.35294118,0.47254902
43410,7,DUQ,32.105322,1449.5,59.1745098,81.35294118,0.47254902
43410,8,DUQ,36.218926,1476.285714,59.1745098,81.35294118,0.47254902
43410,9,DUQ,35.466898,1496.142857,59.1745098,81.35294118,0.47254902
43410,10,DUQ,34.005577,1515.125,59.1745098,81.35294118,0.47254902
43410,11,DUQ,33.379305,1516.125,59.1745098,81.35294118,0.47254902
43410,12,DUQ,31.324316,1524.125,59.1745098,81.35294118,0.47254902
43410,13,DUQ,35.898364,1529.125,59.1745098,81.35294118,0.47254902
43410,14,DUQ,31.209124,1515.125,59.1745098,81.35294118,0.47254902
43410,15,DUQ,28.801565,1497.125,59.1745098,81.35294118,0.47254902
43410,16,DUQ,33.84824,1496.777778,59.1745098,81.35294118,0.47254902
43410,17,DUQ,71.449944,1527.222222,59.1745098,81.35294118,0.47254902
43410,18,DUQ,43.012556,1543.777778,59.1745098,81.35294118,0.47254902
43410,19,DUQ,47.210425,1541.333333,59.1745098,81.35294118,0.47254902
43410,20,DUQ,30.94056,1509.333333,59.1745098,81.35294118,0.47254902
43410,21,DUQ,28.209053,1455.222222,59.1745098,81.35294118,0.47254902
43410,22,DUQ,25.863198,1367.5,59.1745098,81.35294118,0.47254902
43410,23,DUQ,25.373426,1287,59.1745098,81.35294118,0.47254902
43411,0,DUQ,23.769339,1224,49.99411765,68.05882353,0.013137255
43411,1,DUQ,23.857908,1193,49.99411765,68.05882353,0.013137255
43411,2,DUQ,22.710742,1180.2,49.99411765,68.05882353,0.013137255
43411,3,DUQ,23.320496,1170.6,49.99411765,68.05882353,0.013137255
43411,4,DUQ,24.786178,1197,49.99411765,68.05882353,0.013137255
43411,5,DUQ,31.666932,1276.166667,49.99411765,68.05882353,0.013137255
43411,6,DUQ,38.190992,1394.833333,49.99411765,68.05882353,0.013137255
43411,7,DUQ,29.421358,1477,49.99411765,68.05882353,0.013137255
43411,8,DUQ,30.631667,1496,49.99411765,68.05882353,0.013137255
43411,9,DUQ,30.6423,1509.428571,49.99411765,68.05882353,0.013137255
43411,10,DUQ,30.740585,1517.875,49.99411765,68.05882353,0.013137255
43411,11,DUQ,37.586356,1515,49.99411765,68.05882353,0.013137255
43411,12,DUQ,35.137826,1503.5,49.99411765,68.05882353,0.013137255
43411,13,DUQ,33.909993,1508.125,49.99411765,68.05882353,0.013137255
43411,14,DUQ,27.729488,1494.25,49.99411765,68.05882353,0.013137255
43411,15,DUQ,30.424677,1485.5,49.99411765,68.05882353,0.013137255
43411,16,DUQ,42.011692,1500.666667,49.99411765,68.05882353,0.013137255
43411,17,DUQ,56.475189,1537.555556,49.99411765,68.05882353,0.013137255
43411,18,DUQ,47.387234,1549.555556,49.99411765,68.05882353,0.013137255
43411,19,DUQ,48.22754,1544.888889,49.99411765,68.05882353,0.013137255
43411,20,DUQ,58.356487,1519.444444,49.99411765,68.05882353,0.013137255
43411,21,DUQ,33.133464,1466,49.99411765,68.05882353,0.013137255
43411,22,DUQ,30.835262,1387.6,49.99411765,68.05882353,0.013137255
43411,23,DUQ,28.162843,1313.9,49.99411765,68.05882353,0.013137255
43412,0,DUQ,26.338658,1272.4,44.34313725,72.88235294,0.026862745
43412,1,DUQ,25.550942,1238,44.34313725,72.88235294,0.026862745
43412,2,DUQ,24.857767,1223,44.34313725,72.88235294,0.026862745
43412,3,DUQ,25.683985,1234.6,44.34313725,72.88235294,0.026862745
43412,4,DUQ,28.91065,1293.833333,44.34313725,72.88235294,0.026862745
43412,5,DUQ,30.855436,1366.833333,44.34313725,72.88235294,0.026862745
43412,6,DUQ,34.00534,1487,44.34313725,72.88235294,0.026862745
43412,7,DUQ,58.114634,1577.833333,44.34313725,72.88235294,0.026862745
43412,8,DUQ,38.474492,1596.285714,44.34313725,72.88235294,0.026862745
43412,9,DUQ,45.559362,1604,44.34313725,72.88235294,0.026862745
43412,10,DUQ,34.80202,1601.125,44.34313725,72.88235294,0.026862745
43412,11,DUQ,33.676453,1592.25,44.34313725,72.88235294,0.026862745
43412,12,DUQ,38.973967,1585.375,44.34313725,72.88235294,0.026862745
43412,13,DUQ,40.520342,1580.375,44.34313725,72.88235294,0.026862745
43412,14,DUQ,34.570341,1566.375,44.34313725,72.88235294,0.026862745
43412,15,DUQ,32.260065,1545.375,44.34313725,72.88235294,0.026862745
43412,16,DUQ,33.952322,1542.444444,44.34313725,72.88235294,0.026862745
43412,17,DUQ,36.947415,1568.111111,44.34313725,72.88235294,0.026862745
43412,18,DUQ,33.501075,1592.222222,44.34313725,72.88235294,0.026862745
43412,19,DUQ,34.654861,1603.444444,44.34313725,72.88235294,0.026862745
43412,20,DUQ,39.343868,1585.111111,44.34313725,72.88235294,0.026862745
43412,21,DUQ,33.428589,1535.777778,44.34313725,72.88235294,0.026862745
43412,22,DUQ,28.313376,1447.5,44.34313725,72.88235294,0.026862745
43412,23,DUQ,28.751777,1373.7,44.34313725,72.88235294,0.026862745
43413,0,DUQ,25.165077,1339,45.75490196,82.2745098,0.825294118
43413,1,DUQ,23.443251,1308,45.75490196,82.2745098,0.825294118
43413,2,DUQ,23.142405,1291.8,45.75490196,82.2745098,0.825294118
43413,3,DUQ,23.074925,1291,45.75490196,82.2745098,0.825294118
43413,4,DUQ,23.086271,1307.666667,45.75490196,82.2745098,0.825294118
43413,5,DUQ,24.61387,1382.5,45.75490196,82.2745098,0.825294118
43413,6,DUQ,27.82629,1507.666667,45.75490196,82.2745098,0.825294118
43413,7,DUQ,30.418607,1592.166667,45.75490196,82.2745098,0.825294118
43413,8,DUQ,31.079641,1618.714286,45.75490196,82.2745098,0.825294118
43413,9,DUQ,29.296203,1627.857143,45.75490196,82.2745098,0.825294118
43413,10,DUQ,28.45859,1627.25,45.75490196,82.2745098,0.825294118
43413,11,DUQ,29.419246,1610.625,45.75490196,82.2745098,0.825294118
43413,12,DUQ,30.457496,1597.125,45.75490196,82.2745098,0.825294118
43413,13,DUQ,33.96415,1591.375,45.75490196,82.2745098,0.825294118
43413,14,DUQ,30.175322,1574.375,45.75490196,82.2745098,0.825294118
43413,15,DUQ,27.264446,1554.625,45.75490196,82.2745098,0.825294118
43413,16,DUQ,28.9315,1550.444444,45.75490196,82.2745098,0.825294118
43413,17,DUQ,32.336242,1567.333333,45.75490196,82.2745098,0.825294118
43413,18,DUQ,29.470307,1576.888889,45.75490196,82.2745098,0.825294118
43413,19,DUQ,27.160502,1573.333333,45.75490196,82.2745098,0.825294118
43413,20,DUQ,27.648408,1552.555556,45.75490196,82.2745098,0.825294118
43413,21,DUQ,27.768798,1508.111111,45.75490196,82.2745098,0.825294118
43413,22,DUQ,26.551481,1441.9,45.75490196,82.2745098,0.825294118
43413,23,DUQ,25.486014,1377.8,45.75490196,82.2745098,0.825294118
43414,0,DUQ,24.964033,1339.4,38.10588235,64.52941176,0.088431373
43414,1,DUQ,24.811995,1310,38.10588235,64.52941176,0.088431373
43414,2,DUQ,25.40693,1294,38.10588235,64.52941176,0.088431373
43414,3,DUQ,25.130244,1288.4,38.10588235,64.52941176,0.088431373
43414,4,DUQ,26.053295,1299.5,38.10588235,64.52941176,0.088431373
43414,5,DUQ,32.536364,1325.833333,38.10588235,64.52941176,0.088431373
43414,6,DUQ,43.920191,1375.666667,38.10588235,64.52941176,0.088431373
43414,7,DUQ,33.975991,1427.833333,38.10588235,64.52941176,0.088431373
43414,8,DUQ,35.228157,1474.857143,38.10588235,64.52941176,0.088431373
43414,9,DUQ,59.015269,1517.857143,38.10588235,64.52941176,0.088431373
43414,10,DUQ,37.453847,1527.5,38.10588235,64.52941176,0.088431373
43414,11,DUQ,32.178075,1521.375,38.10588235,64.52941176,0.088431373
43414,12,DUQ,29.609294,1507,38.10588235,64.52941176,0.088431373
43414,13,DUQ,28.612047,1492.125,38.10588235,64.52941176,0.088431373
43414,14,DUQ,27.994904,1472.5,38.10588235,64.52941176,0.088431373
43414,15,DUQ,28.426068,1457.75,38.10588235,64.52941176,0.088431373
43414,16,DUQ,35.528249,1473.555556,38.10588235,64.52941176,0.088431373
43414,17,DUQ,44.795463,1503.888889,38.10588235,64.52941176,0.088431373
43414,18,DUQ,37.181447,1542,38.10588235,64.52941176,0.088431373
43414,19,DUQ,47.089034,1560.444444,38.10588235,64.52941176,0.088431373
43414,20,DUQ,51.593304,1554.111111,38.10588235,64.52941176,0.088431373
43414,21,DUQ,51.777461,1520.888889,38.10588235,64.52941176,0.088431373
43414,22,DUQ,36.506136,1478,38.10588235,64.52941176,0.088431373
43414,23,DUQ,33.525004,1421.2,38.10588235,64.52941176,0.088431373
