City/State,Temp,Humidity,Precipitation,Wind Speed,Weather Condition,Date
"Aliquippa,PA",33.3,90.0,0.14,4.7,Light drizzle,2018-11-18
"Allison Park,PA",32.8,91.0,0.07,3.8,Patchy rain possible,2018-11-18
"Ambridge,PA",33.3,90.0,0.14,4.7,Light drizzle,2018-11-18
"Baden,PA",33.3,90.0,0.14,4.7,Light drizzle,2018-11-18
"Bairdford,PA",33.3,90.0,0.15,4.9,Patchy rain possible,2018-11-18
"Bakerstown,PA",31.9,89.0,0.22,6.5,Light drizzle,2018-11-18
"Beaver,PA",33.7,89.0,0.15,7.6,Light drizzle,2018-11-18
"Braddock,PA",33.7,90.0,0.1,5.8,Overcast,2018-11-18
"Carnegie,PA",34.2,88.0,0.07,4.3,Overcast,2018-11-18
"Cheswick,PA",33.3,90.0,0.15,4.9,Patchy rain possible,2018-11-18
"Clinton,PA",32.4,91.0,0.06,3.8,Patchy rain possible,2018-11-18
"Conway,PA",33.7,89.0,0.15,7.6,Light drizzle,2018-11-18
"Coraopolis,PA",32.4,91.0,0.06,3.8,Patchy rain possible,2018-11-18
"Crescent,PA",36.0,81.0,0.01,7.8,Overcast,2018-11-18
"Curtisville,PA",33.3,90.0,0.15,4.9,Patchy rain possible,2018-11-18
"Dravosburg,PA",34.6,88.0,0.07,4.0,Overcast,2018-11-18
"Duquesne,PA",82.0,78.0,0.24,18.3,Light rain shower,2018-11-18
"East Mc Keesport,PA",35.1,90.0,0.08,4.0,Overcast,2018-11-18
"East Pittsburgh,PA",35.1,90.0,0.08,4.0,Overcast,2018-11-18
"Freedom,PA",33.7,89.0,0.15,7.6,Light drizzle,2018-11-18
"Georgetown,PA",32.4,89.0,0.24,3.8,Light drizzle,2018-11-18
"Gibsonia,PA",32.8,91.0,0.07,3.8,Patchy rain possible,2018-11-18
"Glassport,PA",34.6,88.0,0.07,4.0,Overcast,2018-11-18
"Glenshaw,PA",34.2,89.0,0.06,5.8,Overcast,2018-11-18
"Homestead,PA",34.6,88.0,0.07,4.0,Overcast,2018-11-18
"Hookstown,PA",32.8,90.0,0.23,7.6,Light drizzle,2018-11-18
"Imperial,PA",57.9,44.0,0.0,10.7,Partly cloudy,2018-11-18
"Indianola,PA",33.3,90.0,0.15,4.9,Patchy rain possible,2018-11-18
"Industry,PA",80.9,78.0,0.15,11.9,Partly cloudy,2018-11-18
"Leetsdale,PA",33.3,90.0,0.14,4.7,Light drizzle,2018-11-18
"Mc Kees Rocks,PA",55.5,42.0,0.0,18.6,Sunny,2018-11-18
"Mckeesport,PA",34.6,88.0,0.07,4.0,Overcast,2018-11-18
"Midland,PA",32.8,90.0,0.23,7.6,Light drizzle,2018-11-18
"Monaca,PA",85.9,74.0,0.03,17.0,Patchy rain possible,2018-11-18
"Monroeville,PA",35.1,90.0,0.08,4.0,Overcast,2018-11-18
"New Brighton,PA",66.0,65.0,0.03,6.9,Light rain shower,2018-11-18
"North Versailles,PA",35.1,90.0,0.08,4.0,Overcast,2018-11-18
"Oakmont,PA",33.7,90.0,0.1,5.8,Overcast,2018-11-18
"Pittsburgh,PA",34.2,89.0,0.06,5.8,Overcast,2018-11-18
"Presto,PA",66.8,64.0,0.76,11.4,Moderate or heavy rain shower,2018-11-18
"Rochester,PA",33.7,89.0,0.15,7.6,Light drizzle,2018-11-18
"Russellton,PA",33.3,90.0,0.15,4.9,Patchy rain possible,2018-11-18
"Sewickley,PA",32.4,91.0,0.06,3.8,Patchy rain possible,2018-11-18
"Shippingport,PA",32.8,90.0,0.23,7.6,Light drizzle,2018-11-18
"South Heights,PA",33.3,90.0,0.14,4.7,Light drizzle,2018-11-18
"Springdale,PA",33.3,90.0,0.15,4.9,Patchy rain possible,2018-11-18
"Turtle Creek,PA",33.7,90.0,0.1,5.8,Overcast,2018-11-18
"Verona,PA",46.0,54.0,0.0,5.8,Partly cloudy,2018-11-18
"West Mifflin,PA",34.6,88.0,0.07,4.0,Overcast,2018-11-18
"Wildwood,PA",32.8,91.0,0.07,3.8,Patchy rain possible,2018-11-18
"Wilmerding,PA",35.1,90.0,0.08,4.0,Overcast,2018-11-18
"Aliquippa,PA",36.0,84.0,0.02,10.1,Patchy rain possible,2018-11-17
"Allison Park,PA",34.2,89.0,0.01,10.1,Light snow,2018-11-17
"Ambridge,PA",36.0,84.0,0.02,10.1,Patchy rain possible,2018-11-17
"Baden,PA",36.0,84.0,0.02,10.1,Patchy rain possible,2018-11-17
"Bairdford,PA",34.6,88.0,0.02,10.3,Light snow showers,2018-11-17
"Bakerstown,PA",34.6,88.0,0.02,10.1,Light snow showers,2018-11-17
"Beaver,PA",35.5,86.0,0.01,6.9,Patchy rain possible,2018-11-17
"Braddock,PA",35.5,88.0,0.0,10.3,Light snow,2018-11-17
"Carnegie,PA",35.5,86.0,0.0,11.0,Patchy rain possible,2018-11-17
"Cheswick,PA",34.6,88.0,0.02,10.3,Light snow showers,2018-11-17
"Clinton,PA",34.2,90.0,0.01,10.3,Light snow,2018-11-17
"Conway,PA",35.5,86.0,0.01,6.9,Patchy rain possible,2018-11-17
"Coraopolis,PA",34.2,90.0,0.01,10.3,Light snow,2018-11-17
"Crescent,PA",35.5,86.0,0.0,7.2,Patchy rain possible,2018-11-17
"Curtisville,PA",34.6,88.0,0.02,10.3,Light snow showers,2018-11-17
"Dravosburg,PA",34.2,88.0,0.0,9.4,Light snow,2018-11-17
"Duquesne,PA",82.0,79.0,0.47,17.0,Moderate or heavy rain shower,2018-11-17
"East Mc Keesport,PA",36.4,87.0,0.0,9.4,Patchy rain possible,2018-11-17
"East Pittsburgh,PA",36.4,87.0,0.0,9.4,Patchy rain possible,2018-11-17
"Freedom,PA",35.5,86.0,0.01,6.9,Patchy rain possible,2018-11-17
"Georgetown,PA",34.6,85.0,0.01,10.5,Light snow,2018-11-17
"Gibsonia,PA",34.2,89.0,0.01,10.1,Light snow,2018-11-17
"Glassport,PA",34.2,88.0,0.0,9.4,Light snow,2018-11-17
"Glenshaw,PA",35.5,85.0,0.01,10.3,Patchy rain possible,2018-11-17
"Homestead,PA",34.2,88.0,0.0,9.4,Light snow,2018-11-17
"Hookstown,PA",33.3,86.0,0.01,7.8,Patchy rain possible,2018-11-17
"Imperial,PA",62.5,47.0,0.0,12.8,Partly cloudy,2018-11-17
"Indianola,PA",34.6,88.0,0.02,10.3,Light snow showers,2018-11-17
"Industry,PA",81.9,78.0,0.1,11.9,Patchy rain possible,2018-11-17
"Leetsdale,PA",36.0,84.0,0.02,10.1,Patchy rain possible,2018-11-17
"Mc Kees Rocks,PA",56.6,46.0,0.0,19.5,Partly cloudy,2018-11-17
"Mckeesport,PA",34.2,88.0,0.0,9.4,Light snow,2018-11-17
"Midland,PA",33.3,86.0,0.01,7.8,Patchy rain possible,2018-11-17
"Monaca,PA",85.8,73.0,0.0,14.5,Partly cloudy,2018-11-17
"Monroeville,PA",36.4,87.0,0.0,9.4,Patchy rain possible,2018-11-17
"New Brighton,PA",67.6,67.0,0.02,5.1,Light rain shower,2018-11-17
"North Versailles,PA",36.4,87.0,0.0,9.4,Patchy rain possible,2018-11-17
"Oakmont,PA",35.5,88.0,0.0,10.3,Light snow,2018-11-17
"Pittsburgh,PA",35.5,85.0,0.01,10.3,Patchy rain possible,2018-11-17
"Presto,PA",69.6,58.0,0.04,9.2,Patchy rain possible,2018-11-17
"Rochester,PA",35.5,86.0,0.01,6.9,Patchy rain possible,2018-11-17
"Russellton,PA",34.6,88.0,0.02,10.3,Light snow showers,2018-11-17
"Sewickley,PA",34.2,90.0,0.01,10.3,Light snow,2018-11-17
"Shippingport,PA",33.3,86.0,0.01,7.8,Patchy rain possible,2018-11-17
"South Heights,PA",36.0,84.0,0.02,10.1,Patchy rain possible,2018-11-17
"Springdale,PA",34.6,88.0,0.02,10.3,Light snow showers,2018-11-17
"Turtle Creek,PA",36.4,87.0,0.0,9.4,Patchy rain possible,2018-11-17
"Verona,PA",49.0,55.0,0.0,7.8,Partly cloudy,2018-11-17
"West Mifflin,PA",34.2,88.0,0.0,9.4,Light snow,2018-11-17
"Wildwood,PA",34.2,89.0,0.01,10.1,Light snow,2018-11-17
"Wilmerding,PA",36.4,87.0,0.0,9.4,Patchy rain possible,2018-11-17
"Aliquippa,PA",36.0,88.0,0.07,12.8,Heavy snow,2018-11-16
"Allison Park,PA",37.8,84.0,0.06,9.8,Heavy snow,2018-11-16
"Ambridge,PA",36.0,88.0,0.07,12.8,Heavy snow,2018-11-16
"Baden,PA",36.0,88.0,0.07,12.8,Heavy snow,2018-11-16
"Bairdford,PA",36.0,84.0,0.31,10.3,Heavy snow,2018-11-16
"Bakerstown,PA",36.0,88.0,0.28,10.3,Heavy snow,2018-11-16
"Beaver,PA",37.8,88.0,0.12,10.5,Moderate snow,2018-11-16
"Braddock,PA",37.3,87.0,0.04,10.7,Light snow showers,2018-11-16
