datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
3/1/2018 5:00,3/1/2018 0:00,51217,EASTERN HUB,,,HUB,,25.69,25.525868,0,-0.164132,TRUE,1
3/1/2018 6:00,3/1/2018 1:00,51217,EASTERN HUB,,,HUB,,20.1,19.94426,0,-0.15574,TRUE,1
3/1/2018 7:00,3/1/2018 2:00,51217,EASTERN HUB,,,HUB,,18.74,18.565513,-0.050185,-0.124302,TRUE,1
3/1/2018 8:00,3/1/2018 3:00,51217,EASTERN HUB,,,HUB,,19.29,19.124032,0,-0.165968,TRUE,1
3/1/2018 9:00,3/1/2018 4:00,51217,EASTERN HUB,,,HUB,,20.640001,19.546062,-0.888059,-0.205879,TRUE,1
3/1/2018 10:00,3/1/2018 5:00,51217,EASTERN HUB,,,HUB,,21.02,18.242861,-2.348298,-0.428841,TRUE,1
3/1/2018 11:00,3/1/2018 6:00,51217,EASTERN HUB,,,HUB,,30.6,26.977379,-3.193747,-0.428874,TRUE,1
3/1/2018 12:00,3/1/2018 7:00,51217,EASTERN HUB,,,HUB,,29.519999,25.550762,-3.843465,-0.125773,TRUE,1
3/1/2018 13:00,3/1/2018 8:00,51217,EASTERN HUB,,,HUB,,25,20.350224,-4.518743,-0.131033,TRUE,1
3/1/2018 14:00,3/1/2018 9:00,51217,EASTERN HUB,,,HUB,,27.97,23.698784,-4.135457,-0.135759,TRUE,1
3/1/2018 15:00,3/1/2018 10:00,51217,EASTERN HUB,,,HUB,,25.38,23.197815,-1.916571,-0.265614,TRUE,1
3/1/2018 16:00,3/1/2018 11:00,51217,EASTERN HUB,,,HUB,,23.17,22.448931,-0.529583,-0.191486,TRUE,1
3/1/2018 17:00,3/1/2018 12:00,51217,EASTERN HUB,,,HUB,,21.61,21.7206,0.344721,-0.234121,TRUE,1
3/1/2018 18:00,3/1/2018 13:00,51217,EASTERN HUB,,,HUB,,22.83,20.326479,-2.269442,-0.234078,TRUE,1
3/1/2018 19:00,3/1/2018 14:00,51217,EASTERN HUB,,,HUB,,22.86,19.216809,-3.402218,-0.240973,TRUE,1
3/1/2018 20:00,3/1/2018 15:00,51217,EASTERN HUB,,,HUB,,22.96,21.261619,-1.51162,-0.186762,TRUE,1
3/1/2018 21:00,3/1/2018 16:00,51217,EASTERN HUB,,,HUB,,23.93,21.932819,-1.857405,-0.139776,TRUE,1
3/1/2018 22:00,3/1/2018 17:00,51217,EASTERN HUB,,,HUB,,24.7,23.352493,-1.363097,0.01559,TRUE,1
3/1/2018 23:00,3/1/2018 18:00,51217,EASTERN HUB,,,HUB,,35.21,31.215122,-4.236681,0.241804,TRUE,1
3/2/2018 0:00,3/1/2018 19:00,51217,EASTERN HUB,,,HUB,,61.81,57.762626,-3.973411,-0.073962,TRUE,1
3/2/2018 1:00,3/1/2018 20:00,51217,EASTERN HUB,,,HUB,,48.4,27.319451,-20.692135,-0.388414,TRUE,1
3/2/2018 2:00,3/1/2018 21:00,51217,EASTERN HUB,,,HUB,,24.03,19.903466,-3.937866,-0.188668,TRUE,1
3/2/2018 3:00,3/1/2018 22:00,51217,EASTERN HUB,,,HUB,,19.68,19.566438,0,-0.113562,TRUE,1
3/2/2018 4:00,3/1/2018 23:00,51217,EASTERN HUB,,,HUB,,21.43,20.271438,-0.819027,-0.339535,TRUE,1
3/2/2018 5:00,3/2/2018 0:00,51217,EASTERN HUB,,,HUB,,23.86,18.770513,-4.700086,-0.389401,TRUE,1
3/2/2018 6:00,3/2/2018 1:00,51217,EASTERN HUB,,,HUB,,22.24,17.43931,-4.443885,-0.356806,TRUE,1
3/2/2018 7:00,3/2/2018 2:00,51217,EASTERN HUB,,,HUB,,22.78,16.386926,-6.069691,-0.323383,TRUE,1
3/2/2018 8:00,3/2/2018 3:00,51217,EASTERN HUB,,,HUB,,23.75,15.681437,-7.751892,-0.316671,TRUE,1
3/2/2018 9:00,3/2/2018 4:00,51217,EASTERN HUB,,,HUB,,24.960001,15.218004,-9.544249,-0.197747,TRUE,1
3/2/2018 10:00,3/2/2018 5:00,51217,EASTERN HUB,,,HUB,,22.68,6.027643,-16.596186,-0.056171,TRUE,1
3/2/2018 11:00,3/2/2018 6:00,51217,EASTERN HUB,,,HUB,,108.33,18.376146,-89.714674,-0.23918,TRUE,1
3/2/2018 12:00,3/2/2018 7:00,51217,EASTERN HUB,,,HUB,,39.89,20.706513,-19.349875,0.166389,TRUE,1
3/2/2018 13:00,3/2/2018 8:00,51217,EASTERN HUB,,,HUB,,31.13,19.934699,-11.434076,0.238775,TRUE,1
3/2/2018 14:00,3/2/2018 9:00,51217,EASTERN HUB,,,HUB,,32.38,21.49786,-11.110215,0.228075,TRUE,1
3/2/2018 15:00,3/2/2018 10:00,51217,EASTERN HUB,,,HUB,,28.470001,23.926948,-4.767121,0.224069,TRUE,1
3/2/2018 16:00,3/2/2018 11:00,51217,EASTERN HUB,,,HUB,,35.52,34.442855,-1.382266,0.305121,TRUE,1
3/2/2018 17:00,3/2/2018 12:00,51217,EASTERN HUB,,,HUB,,29.139999,27.151159,-2.301524,0.312684,TRUE,1
3/2/2018 18:00,3/2/2018 13:00,51217,EASTERN HUB,,,HUB,,30.08,30.740503,0.359954,0.300549,TRUE,1
3/2/2018 19:00,3/2/2018 14:00,51217,EASTERN HUB,,,HUB,,23.029999,23.186732,-0.089398,0.24613,TRUE,1
3/2/2018 20:00,3/2/2018 15:00,51217,EASTERN HUB,,,HUB,,21.090001,21.365715,-0.01,0.285715,TRUE,1
3/2/2018 21:00,3/2/2018 16:00,51217,EASTERN HUB,,,HUB,,22.59,22.930195,0.049907,0.290288,TRUE,1
3/2/2018 22:00,3/2/2018 17:00,51217,EASTERN HUB,,,HUB,,23.680001,22.857826,-1.242035,0.419861,TRUE,1
3/2/2018 23:00,3/2/2018 18:00,51217,EASTERN HUB,,,HUB,,39.4,37.737251,-2.439528,0.776779,TRUE,1
3/3/2018 0:00,3/2/2018 19:00,51217,EASTERN HUB,,,HUB,,31.15,25.474695,-6.133137,0.457832,TRUE,1
3/3/2018 1:00,3/2/2018 20:00,51217,EASTERN HUB,,,HUB,,30.07,18.896143,-11.557161,0.383305,TRUE,1
3/3/2018 2:00,3/2/2018 21:00,51217,EASTERN HUB,,,HUB,,30.62,19.913783,-11.248643,0.542426,TRUE,1
3/3/2018 3:00,3/2/2018 22:00,51217,EASTERN HUB,,,HUB,,23.770001,20.578152,-3.530135,0.338287,TRUE,1
3/3/2018 4:00,3/2/2018 23:00,51217,EASTERN HUB,,,HUB,,26.08,22.805837,-3.642357,0.368194,TRUE,1
3/3/2018 5:00,3/3/2018 0:00,51217,EASTERN HUB,,,HUB,,30.37,31.635445,0.499725,0.76572,TRUE,1
3/3/2018 6:00,3/3/2018 1:00,51217,EASTERN HUB,,,HUB,,39.060001,39.835411,0.166576,0.608836,TRUE,1
3/3/2018 7:00,3/3/2018 2:00,51217,EASTERN HUB,,,HUB,,32.87,33.417843,0.2,0.347843,TRUE,1
3/3/2018 8:00,3/3/2018 3:00,51217,EASTERN HUB,,,HUB,,31.04,31.222901,-0.088843,0.271744,TRUE,1
3/3/2018 9:00,3/3/2018 4:00,51217,EASTERN HUB,,,HUB,,27.72,27.464808,-0.508197,0.253005,TRUE,1
3/3/2018 10:00,3/3/2018 5:00,51217,EASTERN HUB,,,HUB,,25.68,24.718697,-1.254913,0.29361,TRUE,1
3/3/2018 11:00,3/3/2018 6:00,51217,EASTERN HUB,,,HUB,,27.7,22.323015,-5.735166,0.358182,TRUE,1
3/3/2018 12:00,3/3/2018 7:00,51217,EASTERN HUB,,,HUB,,25.9,20.97437,-5.237107,0.311478,TRUE,1
