datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
7/1/2018 4:00,7/1/2018 0:00,51217,EASTERN HUB,,,HUB,,23.96,24.814794,0.055366,0.802761,TRUE,1
7/1/2018 5:00,7/1/2018 1:00,51217,EASTERN HUB,,,HUB,,22.8,23.628668,0.015779,0.817055,TRUE,1
7/1/2018 6:00,7/1/2018 2:00,51217,EASTERN HUB,,,HUB,,20.79,21.450104,0,0.659271,TRUE,1
7/1/2018 7:00,7/1/2018 3:00,51217,EASTERN HUB,,,HUB,,19.87,20.384592,0,0.514592,TRUE,1
7/1/2018 8:00,7/1/2018 4:00,51217,EASTERN HUB,,,HUB,,19.33,19.743838,0,0.418005,TRUE,1
7/1/2018 9:00,7/1/2018 5:00,51217,EASTERN HUB,,,HUB,,18.9,19.257539,0,0.356706,TRUE,1
7/1/2018 10:00,7/1/2018 6:00,51217,EASTERN HUB,,,HUB,,17.82,18.156106,0,0.337773,TRUE,1
7/1/2018 11:00,7/1/2018 7:00,51217,EASTERN HUB,,,HUB,,19.76,20.251663,0,0.496663,TRUE,1
7/1/2018 12:00,7/1/2018 8:00,51217,EASTERN HUB,,,HUB,,23.84,24.471337,0.011605,0.618899,TRUE,1
7/1/2018 13:00,7/1/2018 9:00,51217,EASTERN HUB,,,HUB,,39.94,40.806407,-0.051245,0.922651,TRUE,1
7/1/2018 14:00,7/1/2018 10:00,51217,EASTERN HUB,,,HUB,,42.09,42.890075,-0.304927,1.107502,TRUE,1
7/1/2018 15:00,7/1/2018 11:00,51217,EASTERN HUB,,,HUB,,45.77,47.293972,0.235903,1.29307,TRUE,1
7/1/2018 16:00,7/1/2018 12:00,51217,EASTERN HUB,,,HUB,,35.78,37.404844,0.479592,1.141085,TRUE,1
7/1/2018 17:00,7/1/2018 13:00,51217,EASTERN HUB,,,HUB,,45.41,50.472933,3.307289,1.753977,TRUE,1
7/1/2018 18:00,7/1/2018 14:00,51217,EASTERN HUB,,,HUB,,48.06,53.35922,3.502777,1.800609,TRUE,1
7/1/2018 19:00,7/1/2018 15:00,51217,EASTERN HUB,,,HUB,,43.56,48.53278,3.304493,1.669954,TRUE,1
7/1/2018 20:00,7/1/2018 16:00,51217,EASTERN HUB,,,HUB,,53.45,62.220757,6.412403,2.356687,TRUE,1
7/1/2018 21:00,7/1/2018 17:00,51217,EASTERN HUB,,,HUB,,52.1,59.503994,4.751905,2.651256,TRUE,1
7/1/2018 22:00,7/1/2018 18:00,51217,EASTERN HUB,,,HUB,,49.46,56.977938,4.651966,2.864306,TRUE,1
7/1/2018 23:00,7/1/2018 19:00,51217,EASTERN HUB,,,HUB,,44.55,51.265225,4.293982,2.419577,TRUE,1
7/2/2018 0:00,7/1/2018 20:00,51217,EASTERN HUB,,,HUB,,36.28,38.265954,0.430964,1.559157,TRUE,1
7/2/2018 1:00,7/1/2018 21:00,51217,EASTERN HUB,,,HUB,,35.53,36.996336,0.022862,1.440974,TRUE,1
7/2/2018 2:00,7/1/2018 22:00,51217,EASTERN HUB,,,HUB,,28.37,29.360398,0,0.990398,TRUE,1
7/2/2018 3:00,7/1/2018 23:00,51217,EASTERN HUB,,,HUB,,27.72,28.836124,0.053179,1.064611,TRUE,1
7/2/2018 4:00,7/2/2018 0:00,51217,EASTERN HUB,,,HUB,,28.12,30.646536,1.31938,1.204655,TRUE,1
7/2/2018 5:00,7/2/2018 1:00,51217,EASTERN HUB,,,HUB,,21.92,22.864545,0,0.947878,TRUE,1
7/2/2018 6:00,7/2/2018 2:00,51217,EASTERN HUB,,,HUB,,21.23,21.964891,0,0.733224,TRUE,1
7/2/2018 7:00,7/2/2018 3:00,51217,EASTERN HUB,,,HUB,,20.49,21.100312,0,0.607812,TRUE,1
7/2/2018 8:00,7/2/2018 4:00,51217,EASTERN HUB,,,HUB,,20.39,20.925611,0,0.539777,TRUE,1
7/2/2018 9:00,7/2/2018 5:00,51217,EASTERN HUB,,,HUB,,20.96,21.499641,0,0.539641,TRUE,1
7/2/2018 10:00,7/2/2018 6:00,51217,EASTERN HUB,,,HUB,,23.53,24.153989,0,0.625656,TRUE,1
7/2/2018 11:00,7/2/2018 7:00,51217,EASTERN HUB,,,HUB,,26.07,26.959693,-0.001667,0.894693,TRUE,1
7/2/2018 12:00,7/2/2018 8:00,51217,EASTERN HUB,,,HUB,,34.18,35.683285,-0.004495,1.508613,TRUE,1
7/2/2018 13:00,7/2/2018 9:00,51217,EASTERN HUB,,,HUB,,78.11,81.45018,-0.489882,3.835062,TRUE,1
7/2/2018 14:00,7/2/2018 10:00,51217,EASTERN HUB,,,HUB,,41.33,43.523232,-0.033531,2.22843,TRUE,1
7/2/2018 15:00,7/2/2018 11:00,51217,EASTERN HUB,,,HUB,,82.04,99.479314,12.491916,4.944899,TRUE,1
7/2/2018 16:00,7/2/2018 12:00,51217,EASTERN HUB,,,HUB,,83.48,90.389679,2.842735,4.062777,TRUE,1
7/2/2018 17:00,7/2/2018 13:00,51217,EASTERN HUB,,,HUB,,57.58,59.821866,-0.340414,2.582281,TRUE,1
7/2/2018 18:00,7/2/2018 14:00,51217,EASTERN HUB,,,HUB,,50.23,59.143209,6.203515,2.708861,TRUE,1
7/2/2018 19:00,7/2/2018 15:00,51217,EASTERN HUB,,,HUB,,41.85,49.973543,5.465936,2.659274,TRUE,1
7/2/2018 20:00,7/2/2018 16:00,51217,EASTERN HUB,,,HUB,,44.76,56.098604,8.075899,3.261872,TRUE,1
7/2/2018 21:00,7/2/2018 17:00,51217,EASTERN HUB,,,HUB,,41.69,50.666411,5.697137,3.27844,TRUE,1
7/2/2018 22:00,7/2/2018 18:00,51217,EASTERN HUB,,,HUB,,78.2,94.668135,9.527557,6.944745,TRUE,1
7/2/2018 23:00,7/2/2018 19:00,51217,EASTERN HUB,,,HUB,,56.38,102.194635,41.056096,4.761039,TRUE,1
7/3/2018 0:00,7/2/2018 20:00,51217,EASTERN HUB,,,HUB,,41.93,160.409181,115.575295,2.903886,TRUE,1
7/3/2018 1:00,7/2/2018 21:00,51217,EASTERN HUB,,,HUB,,32.07,73.95735,39.949341,1.938009,TRUE,1
7/3/2018 2:00,7/2/2018 22:00,51217,EASTERN HUB,,,HUB,,30.79,32.47109,-0.002508,1.686098,TRUE,1
7/3/2018 3:00,7/2/2018 23:00,51217,EASTERN HUB,,,HUB,,32.51,35.899561,1.520794,1.870433,TRUE,1
7/3/2018 4:00,7/3/2018 0:00,51217,EASTERN HUB,,,HUB,,29.05,35.994663,5.092903,1.855927,TRUE,1
