zip,city_state,utility_name,pnode_name
8084,"Stratford,NJ",Atlantic City Electric Co,AECO
8087,"Tuckerton,NJ",Atlantic City Electric Co,AECO
8089,"Waterford Works,NJ",Atlantic City Electric Co,AECO
8088,"Vincentown,NJ",Atlantic City Electric Co,AECO
8232,"Pleasantville,NJ",Atlantic City Electric Co,AECO
8230,"Ocean View,NJ",Atlantic City Electric Co,AECO
8231,"Oceanville,NJ",Atlantic City Electric Co,AECO
8234,"Egg Harbor Township,NJ",Atlantic City Electric Co,AECO
8009,"Berlin,NJ",Atlantic City Electric Co,AECO
8004,"Atco,NJ",Atlantic City Electric Co,AECO
8001,"Alloway,NJ",Atlantic City Electric Co,AECO
8219,"Green Creek,NJ",Atlantic City Electric Co,AECO
8328,"Malaga,NJ",Atlantic City Electric Co,AECO
8329,"Mauricetown,NJ",Atlantic City Electric Co,AECO
8324,"Heislerville,NJ",Atlantic City Electric Co,AECO
8326,"Landisville,NJ",Atlantic City Electric Co,AECO
8327,"Leesburg,NJ",Atlantic City Electric Co,AECO
8320,"Fairton,NJ",Atlantic City Electric Co,AECO
8321,"Fortescue,NJ",Atlantic City Electric Co,AECO
8322,"Franklinville,NJ",Atlantic City Electric Co,AECO
8323,"Greenwich,NJ",Atlantic City Electric Co,AECO
8406,"Ventnor City,NJ",Atlantic City Electric Co,AECO
8401,"Atlantic City,NJ",Atlantic City Electric Co,AECO
8403,"Longport,NJ",Atlantic City Electric Co,AECO
8402,"Margate City,NJ",Atlantic City Electric Co,AECO
8405,"Atlantic City,NJ",Atlantic City Electric Co,AECO
8404,"Atlantic City,NJ",Atlantic City Electric Co,AECO
8248,"Strathmere,NJ",Atlantic City Electric Co,AECO
8243,"Sea Isle City,NJ",Atlantic City Electric Co,AECO
8242,"Rio Grande,NJ",Atlantic City Electric Co,AECO
8241,"Port Republic,NJ",Atlantic City Electric Co,AECO
8240,"Pomona,NJ",Atlantic City Electric Co,AECO
8247,"Stone Harbor,NJ",Atlantic City Electric Co,AECO
8246,"South Seaville,NJ",Atlantic City Electric Co,AECO
8245,"South Dennis,NJ",Atlantic City Electric Co,AECO
8244,"Somers Point,NJ",Atlantic City Electric Co,AECO
8053,"Marlton,NJ",Atlantic City Electric Co,AECO
8056,"Mickleton,NJ",Atlantic City Electric Co,AECO
8315,"Dividing Creek,NJ",Atlantic City Electric Co,AECO
8314,"Delmont,NJ",Atlantic City Electric Co,AECO
8316,"Dorchester,NJ",Atlantic City Electric Co,AECO
8311,"Cedarville,NJ",Atlantic City Electric Co,AECO
8310,"Buena,NJ",Atlantic City Electric Co,AECO
8313,"Deerfield Street,NJ",Atlantic City Electric Co,AECO
8319,"Estell Manor,NJ",Atlantic City Electric Co,AECO
8318,"Elmer,NJ",Atlantic City Electric Co,AECO
8302,"Bridgeton,NJ",Atlantic City Electric Co,AECO
8218,"Goshen,NJ",Atlantic City Electric Co,AECO
8210,"Cape May Court House,NJ",Atlantic City Electric Co,AECO
8213,"Cologne,NJ",Atlantic City Electric Co,AECO
8214,"Dennisville,NJ",Atlantic City Electric Co,AECO
8215,"Egg Harbor City,NJ",Atlantic City Electric Co,AECO
8217,"Elwood,NJ",Atlantic City Electric Co,AECO
8028,"Glassboro,NJ",Atlantic City Electric Co,AECO
8023,"Deepwater,NJ",Atlantic City Electric Co,AECO
8021,"Clementon,NJ",Atlantic City Electric Co,AECO
8020,"Clarksboro,NJ",Atlantic City Electric Co,AECO
8027,"Gibbstown,NJ",Atlantic City Electric Co,AECO
8026,"Gibbsboro,NJ",Atlantic City Electric Co,AECO
8025,"Ewan,NJ",Atlantic City Electric Co,AECO
8348,"Port Elizabeth,NJ",Atlantic City Electric Co,AECO
8349,"Port Norris,NJ",Atlantic City Electric Co,AECO
8342,"Mizpah,NJ",Atlantic City Electric Co,AECO
8343,"Monroeville,NJ",Atlantic City Electric Co,AECO
8340,"Milmay,NJ",Atlantic City Electric Co,AECO
8341,"Minotola,NJ",Atlantic City Electric Co,AECO
8346,"Newtonville,NJ",Atlantic City Electric Co,AECO
8347,"Norma,NJ",Atlantic City Electric Co,AECO
8344,"Newfield,NJ",Atlantic City Electric Co,AECO
8345,"Newport,NJ",Atlantic City Electric Co,AECO
8085,"Swedesboro,NJ",Atlantic City Electric Co,AECO
8081,"Sicklerville,NJ",Atlantic City Electric Co,AECO
8080,"Sewell,NJ",Atlantic City Electric Co,AECO
8221,"Linwood,NJ",Atlantic City Electric Co,AECO
8220,"Leeds Point,NJ",Atlantic City Electric Co,AECO
8223,"Marmora,NJ",Atlantic City Electric Co,AECO
8225,"Northfield,NJ",Atlantic City Electric Co,AECO
8224,"New Gretna,NJ",Atlantic City Electric Co,AECO
8226,"Ocean City,NJ",Atlantic City Electric Co,AECO
8079,"Salem,NJ",Atlantic City Electric Co,AECO
8070,"Pennsville,NJ",Atlantic City Electric Co,AECO
8071,"Pitman,NJ",Atlantic City Electric Co,AECO
8072,"Quinton,NJ",Atlantic City Electric Co,AECO
8074,"Richwood,NJ",Atlantic City Electric Co,AECO
8332,"Millville,NJ",Atlantic City Electric Co,AECO
8330,"Mays Landing,NJ",Atlantic City Electric Co,AECO
8050,"Manahawkin,NJ",Atlantic City Electric Co,AECO
8051,"Mantua,NJ",Atlantic City Electric Co,AECO
8317,"Dorothy,NJ",Atlantic City Electric Co,AECO
8312,"Clayton,NJ",Atlantic City Electric Co,AECO
8270,"Woodbine,NJ",Atlantic City Electric Co,AECO
8043,"Voorhees,NJ",Atlantic City Electric Co,AECO
8005,"Barnegat,NJ",Atlantic City Electric Co,AECO
8353,"Shiloh,NJ",Atlantic City Electric Co,AECO
8094,"Williamstown,NJ",Atlantic City Electric Co,AECO
8095,"Winslow,NJ",Atlantic City Electric Co,AECO
8092,"West Creek,NJ",Atlantic City Electric Co,AECO
8090,"Wenonah,NJ",Atlantic City Electric Co,AECO
8091,"West Berlin,NJ",Atlantic City Electric Co,AECO
8098,"Woodstown,NJ",Atlantic City Electric Co,AECO
8205,"Absecon,NJ",Atlantic City Electric Co,AECO
8204,"Cape May,NJ",Atlantic City Electric Co,AECO
8203,"Brigantine,NJ",Atlantic City Electric Co,AECO
8202,"Avalon,NJ",Atlantic City Electric Co,AECO
8201,"Absecon,NJ",Atlantic City Electric Co,AECO
8018,"Cedar Brook,NJ",Atlantic City Electric Co,AECO
8019,"Chatsworth,NJ",Atlantic City Electric Co,AECO
8014,"Bridgeport,NJ",Atlantic City Electric Co,AECO
8012,"Blackwood,NJ",Atlantic City Electric Co,AECO
8350,"Richland,NJ",Atlantic City Electric Co,AECO
8352,"Rosenhayn,NJ",Atlantic City Electric Co,AECO
8250,"Tuckahoe,NJ",Atlantic City Electric Co,AECO
8251,"Villas,NJ",Atlantic City Electric Co,AECO
8252,"Whitesboro,NJ",Atlantic City Electric Co,AECO
8069,"Penns Grove,NJ",Atlantic City Electric Co,AECO
8067,"Pedricktown,NJ",Atlantic City Electric Co,AECO
8066,"Paulsboro,NJ",Atlantic City Electric Co,AECO
8062,"Mullica Hill,NJ",Atlantic City Electric Co,AECO
8061,"Mount Royal,NJ",Atlantic City Electric Co,AECO
8260,"Wildwood,NJ",Atlantic City Electric Co,AECO
8037,"Hammonton,NJ",Atlantic City Electric Co,AECO
8032,"Grenloch,NJ",Atlantic City Electric Co,AECO
8038,"Hancocks Bridge,NJ",Atlantic City Electric Co,AECO
8039,"Harrisonville,NJ",Atlantic City Electric Co,AECO
8084,"Stratford,NJ",Atlantic City Electric Co,AECO
8087,"Tuckerton,NJ",Atlantic City Electric Co,AECO
8089,"Waterford Works,NJ",Atlantic City Electric Co,AECO
8088,"Vincentown,NJ",Atlantic City Electric Co,AECO
8232,"Pleasantville,NJ",Atlantic City Electric Co,AECO
8230,"Ocean View,NJ",Atlantic City Electric Co,AECO
8231,"Oceanville,NJ",Atlantic City Electric Co,AECO
8234,"Egg Harbor Township,NJ",Atlantic City Electric Co,AECO
8009,"Berlin,NJ",Atlantic City Electric Co,AECO
8004,"Atco,NJ",Atlantic City Electric Co,AECO
8001,"Alloway,NJ",Atlantic City Electric Co,AECO
8219,"Green Creek,NJ",Atlantic City Electric Co,AECO
8328,"Malaga,NJ",Atlantic City Electric Co,AECO
8329,"Mauricetown,NJ",Atlantic City Electric Co,AECO
8324,"Heislerville,NJ",Atlantic City Electric Co,AECO
8326,"Landisville,NJ",Atlantic City Electric Co,AECO
8327,"Leesburg,NJ",Atlantic City Electric Co,AECO
8320,"Fairton,NJ",Atlantic City Electric Co,AECO
8321,"Fortescue,NJ",Atlantic City Electric Co,AECO
8322,"Franklinville,NJ",Atlantic City Electric Co,AECO
8323,"Greenwich,NJ",Atlantic City Electric Co,AECO
8406,"Ventnor City,NJ",Atlantic City Electric Co,AECO
8401,"Atlantic City,NJ",Atlantic City Electric Co,AECO
8403,"Longport,NJ",Atlantic City Electric Co,AECO
8402,"Margate City,NJ",Atlantic City Electric Co,AECO
8405,"Atlantic City,NJ",Atlantic City Electric Co,AECO
8404,"Atlantic City,NJ",Atlantic City Electric Co,AECO
8248,"Strathmere,NJ",Atlantic City Electric Co,AECO
8243,"Sea Isle City,NJ",Atlantic City Electric Co,AECO
8242,"Rio Grande,NJ",Atlantic City Electric Co,AECO
8241,"Port Republic,NJ",Atlantic City Electric Co,AECO
8240,"Pomona,NJ",Atlantic City Electric Co,AECO
8247,"Stone Harbor,NJ",Atlantic City Electric Co,AECO
8246,"South Seaville,NJ",Atlantic City Electric Co,AECO
8245,"South Dennis,NJ",Atlantic City Electric Co,AECO
8244,"Somers Point,NJ",Atlantic City Electric Co,AECO
8053,"Marlton,NJ",Atlantic City Electric Co,AECO
8056,"Mickleton,NJ",Atlantic City Electric Co,AECO
8315,"Dividing Creek,NJ",Atlantic City Electric Co,AECO
8314,"Delmont,NJ",Atlantic City Electric Co,AECO
8316,"Dorchester,NJ",Atlantic City Electric Co,AECO
8311,"Cedarville,NJ",Atlantic City Electric Co,AECO
8310,"Buena,NJ",Atlantic City Electric Co,AECO
8313,"Deerfield Street,NJ",Atlantic City Electric Co,AECO
8319,"Estell Manor,NJ",Atlantic City Electric Co,AECO
8318,"Elmer,NJ",Atlantic City Electric Co,AECO
8302,"Bridgeton,NJ",Atlantic City Electric Co,AECO
8218,"Goshen,NJ",Atlantic City Electric Co,AECO
8210,"Cape May Court House,NJ",Atlantic City Electric Co,AECO
8213,"Cologne,NJ",Atlantic City Electric Co,AECO
8214,"Dennisville,NJ",Atlantic City Electric Co,AECO
8215,"Egg Harbor City,NJ",Atlantic City Electric Co,AECO
8217,"Elwood,NJ",Atlantic City Electric Co,AECO
8028,"Glassboro,NJ",Atlantic City Electric Co,AECO
8023,"Deepwater,NJ",Atlantic City Electric Co,AECO
8021,"Clementon,NJ",Atlantic City Electric Co,AECO
8020,"Clarksboro,NJ",Atlantic City Electric Co,AECO
8027,"Gibbstown,NJ",Atlantic City Electric Co,AECO
8026,"Gibbsboro,NJ",Atlantic City Electric Co,AECO
8025,"Ewan,NJ",Atlantic City Electric Co,AECO
8348,"Port Elizabeth,NJ",Atlantic City Electric Co,AECO
8349,"Port Norris,NJ",Atlantic City Electric Co,AECO
8342,"Mizpah,NJ",Atlantic City Electric Co,AECO
8343,"Monroeville,NJ",Atlantic City Electric Co,AECO
8340,"Milmay,NJ",Atlantic City Electric Co,AECO
8341,"Minotola,NJ",Atlantic City Electric Co,AECO
8346,"Newtonville,NJ",Atlantic City Electric Co,AECO
8347,"Norma,NJ",Atlantic City Electric Co,AECO
8344,"Newfield,NJ",Atlantic City Electric Co,AECO
8345,"Newport,NJ",Atlantic City Electric Co,AECO
8085,"Swedesboro,NJ",Atlantic City Electric Co,AECO
8081,"Sicklerville,NJ",Atlantic City Electric Co,AECO
8080,"Sewell,NJ",Atlantic City Electric Co,AECO
8221,"Linwood,NJ",Atlantic City Electric Co,AECO
8220,"Leeds Point,NJ",Atlantic City Electric Co,AECO
8223,"Marmora,NJ",Atlantic City Electric Co,AECO
8225,"Northfield,NJ",Atlantic City Electric Co,AECO
8224,"New Gretna,NJ",Atlantic City Electric Co,AECO
8226,"Ocean City,NJ",Atlantic City Electric Co,AECO
8079,"Salem,NJ",Atlantic City Electric Co,AECO
8070,"Pennsville,NJ",Atlantic City Electric Co,AECO
8071,"Pitman,NJ",Atlantic City Electric Co,AECO
8072,"Quinton,NJ",Atlantic City Electric Co,AECO
8074,"Richwood,NJ",Atlantic City Electric Co,AECO
8332,"Millville,NJ",Atlantic City Electric Co,AECO
8330,"Mays Landing,NJ",Atlantic City Electric Co,AECO
